id,language,subject,body,from_email,from_name,received_date,urls,attachments,label,intent,source,notes
336377,vi,[Ngân hàng ABC] C?p nh?t b?o m?t tài kho?n,"Kính g?i khách hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?1 http://bit.ly/c7c16b trong 24 gi? d? tránh khó@ tà1 kh0?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,http://bit.ly/c7c16b,,phishing,credential,manual_template,bank_alert
336378,vi,[Ngân hàng ABC] C?p nh?t b?0 m?t tài kho?n,"Kính g?i khá(h hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?i http://bit.ly/c7c16b trong 24 gi? d? tránh khóa tài kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,http://bit.ly/c7c16b,,phishing,credential,manual_template,bank_alert
336379,vi,[Ngân hàng @BC] C?p nh?t b?o m?t tài kho?n,"Kính g?i khách hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?i [URL] trong 24 gi? d? tránh khó@ tài kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,[URL],,phishing,credential,manual_template,bank_alert
336380,vi,[Ngân hàng ABC] C?p nh?t b?o m?t tài kho?n,"Kính g?i khách hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?i http://bit.ly/c7c16b trong 24 gi? d? tránh khóa tài kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,http://bit.ly/c7c16b,,phishing,credential,manual_template,bank_alert
336381,vi,[Ngân hàng ABC] C?p nh?t b?o m?t tài kh0?n,"Kính g?i khách hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng (?p nh?t m?t kh?u t?i http://bit.ly/c7c16b trong 24 gi? d? tránh khóa tài kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,http://bit.ly/c7c16b,,phishing,credential,manual_template,bank_alert
336382,vi,[Ngân hàng AB(] (?p nh?t b?o m?t tà1 kho?n,"Kính g?i khá(h hàng, h? th?ng gh1 nh?n ho?t d?ng b?t thu?ng. Vui lòng (?p nh?t m?t kh?u t?i [URL] trong 24 gi? d? tránh khó@ tài kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,[URL],,phishing,credential,manual_template,bank_alert
336383,vi,[Ngân hàng ABC] C?p nh?t b?0 m?t tài kho?n,"Kính g?i khách hàng, h? th?ng gh1 nh?n h0?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?i http://bit.ly/c7c16b tr0ng 24 gi? d? tránh khó@ tài kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,http://bit.ly/c7c16b,,phishing,credential,manual_template,bank_alert
336384,vi,[Ngân hàng ABC] C?p nh?t b?o m?t tài kho?n,"Kính g?i khách hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?i [URL] trong 24 gi? d? tránh khóa tài kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,[URL],,phishing,credential,manual_template,bank_alert
336385,vi,[Ngân hàng @B(] C?p nh?t b?o m?t tài kho?n,"Kính g?i khách hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?i [URL] trong 24 gi? d? tránh khóa tài kh0?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,[URL],,phishing,credential,manual_template,bank_alert
336386,vi,[Ngân hàng ABC] (?p nh?t b?o m?t tài kho?n,"Kính g?i khách hàng, h? th?ng ghi nh?n ho?t d?ng b?t thu?ng. Vui lòng c?p nh?t m?t kh?u t?i http://bit.ly/c7c16b trong 24 gi? d? tránh khóa tà1 kho?n.",no-reply@nganhang-abc.com,Ngân Hàng ABC,2025-09-01T08:12:00+07:00,http://bit.ly/c7c16b,,phishing,credential,manual_template,bank_alert
336387,vi,Quý khách du?c ch?n trúng thu?ng,Chú( m?ng! B?n du?c (h?n nh?n quà g1á tr?. Vui lòng di?n thông tin t?i [URL] d? nh?n gi?i.,notify@quatang.vn,Quà T?ng,2025-08-15T09:00:00+07:00,[URL],,phishing,scam,manual_template,prize
